Time(hours),strain (ustrain),Stress ,Temperature,Humidity
3751.266694,13447.83234,6.02,20.1,71
3751.7667,13449.88364,6.02,20.1,72
3752.266705,13451.68536,6.02,20.1,71
3752.766693,13454.0088,6.02,20.1,72
3753.266695,13457.88517,6.02,20.1,72
3753.766696,13463.03005,6.02,20.1,72
3754.266694,13465.09244,6.02,20.1,73
3754.766696,13471.26852,6.02,20.1,73
3755.2667,13473.05876,6.02,20.1,73
3755.766694,13474.87196,6.02,20.1,73
3756.266695,13478.47617,6.02,20,73
3756.766691,13481.81895,6.02,20,73
3757.266706,13482.85014,6.02,20,73
3757.766704,13485.68344,6.02,20,73
3758.266693,13486.71464,6.02,20,73
3758.766694,13486.96383,6.02,20,73
3759.266696,13492.12019,6.02,20,73
3759.766705,13493.92191,6.02,20,73
3760.266707,13494.44364,6.02,20,72
3760.766695,13498.29665,6.02,20,72
3761.266688,13500.60785,6.02,20,72
3761.766695,13501.63943,6.02,20,72
3762.266692,13502.40957,6.02,20.1,72
3762.766689,13506.78354,6.02,20.1,72
3763.266698,13508.07617,6.02,20.1,71
3763.766691,13509.36804,6.02,20.1,71
3764.26669,13509.87789,6.02,20.2,71
3764.766904,13500.60287,6.02,20.2,71
3765.266702,13498.80115,6.02,20.4,70
3765.766688,13499.83234,6.02,20.3,68
3766.266923,13484.60746,6.02,20.2,66
3766.766696,13481.26431,6.02,20.3,64
3767.266689,13477.41167,6.02,20.4,63
3767.766696,13475.5977,6.02,20.5,61
3768.266706,13471.73321,6.02,20.5,60
3768.766689,13465.8178,6.02,20.6,57
3769.26669,13461.96402,6.02,20.6,55
3769.766698,13456.54699,6.02,20.6,54
3770.266689,13449.08976,6.02,20.5,52
3770.76669,13435.95483,6.02,20.5,50
3771.266702,13429.76689,6.02,20.4,52
3771.766913,13430.00995,6.02,20.3,53
3772.266692,13424.6044,6.02,20.2,53
3772.766692,13420.49072,6.02,20.2,53
3773.266706,13416.10411,6.02,20.2,54
3773.766691,13411.46871,6.02,20.2,56
3774.266701,13410.42603,6.02,20.3,58
3774.766689,13409.91579,6.02,20.2,59
3775.266695,13411.46871,6.02,20.2,60
3775.766698,13415.85531,6.02,20.2,60
3776.266704,13415.85531,6.02,20.2,60
3776.76669,13418.16689,6.02,20.2,61
3777.266692,13419.71981,6.02,20.2,62
3777.766695,13417.39636,6.02,20.2,64
3778.26669,13419.71981,6.02,20.2,66
3778.766692,13425.12536,6.02,20.1,68
3779.266704,13429.49971,6.02,20.1,68
3779.766695,13435.17818,6.02,20.1,68
3780.266693,13439.55292,6.02,20.1,68
3780.766689,13442.63541,6.02,20.1,66
3781.266705,13444.95847,6.02,20.1,65
3781.766693,13444.18794,6.02,20,64
3782.266922,13452.68019,6.02,20.1,62
3782.76669,13448.04517,6.02,20.1,61
3783.266692,13445.72211,6.02,20,60
3783.766694,13442.11828,6.02,20,55
3784.266705,13436.9734,6.02,20,54
3784.766692,13430.26411,6.02,20,55
3785.266694,13422.2867,6.02,20.1,55
3785.766695,13419.7022,6.02,20.1,55
3786.266692,13416.86928,6.02,20,55
3786.766694,13416.62048,6.02,20.1,55
3787.266704,13415.32823,6.02,20.1,56
3787.766692,13414.80689,6.02,20.1,57
3788.26669,13414.80689,6.02,20.2,60
3788.766692,13415.83809,6.02,20.2,60
3789.266705,13419.7022,6.02,20.2,58
3789.766691,13419.96325,6.02,20.2,57
3790.266699,13421.2555,6.02,20.2,56
3790.766693,13419.96325,6.02,20.2,55
3791.266694,13418.671,6.02,20.2,54
3791.766698,13415.83809,6.02,20.2,53
3792.266707,13412.75598,6.02,20.2,53
3792.766695,13408.61895,6.02,20.2,53
3793.266691,13408.09722,6.02,20.2,51
3793.766697,13401.92153,6.02,20.1,51
3794.26669,13396.76478,6.02,20.1,51
3794.766691,13392.90067,6.02,20,50
3795.266701,13388.00536,6.02,20,50
3795.766689,13378.20172,6.02,19.9,50
3796.266691,13368.92019,6.02,19.9,50
3796.766916,13368.0199,6.02,19.8,50
3797.266704,13360.78852,6.02,19.9,49
3797.766692,13356.66335,6.02,19.8,49
3798.266707,13352.27713,6.02,19.8,49
3798.76669,13346.59904,6.02,19.7,50
3799.266916,13352.73225,6.02,19.7,50
3799.766698,13346.28325,6.02,19.6,49
3800.266704,13340.34373,6.02,19.6,49
3800.766691,13336.72804,6.02,19.6,49
3801.266694,13330.78928,6.02,19.6,50
3801.766917,13328.78584,6.02,19.5,49
3802.266692,13325.95254,6.02,19.5,50
3802.766699,13320.78392,6.02,19.5,50
3803.2667,13317.42928,6.02,19.4,50
3803.766693,13314.32344,6.02,19.4,50
3804.266692,13312.52172,6.02,19.4,50
3804.766915,13326.10756,6.02,19.3,50
3805.266704,13321.70986,6.02,19.3,50
3805.766695,13319.38603,6.02,19.2,50
3806.266699,13315.77033,6.02,19.2,50
3806.766692,13314.47847,6.02,19.1,50
3807.266919,13305.80249,6.02,19.1,50
3807.766704,13303.21799,6.02,19.1,50
3808.266705,13299.34239,6.02,19.1,50
3808.766698,13297.52842,6.02,19.1,52
3809.266915,13302.4823,6.02,19.1,53
3809.766696,13304.54507,6.02,19.1,54
3810.266693,13307.65091,6.02,19.2,54
3810.766693,13311.78794,6.02,19.2,57
3811.266702,13316.94469,6.02,19.2,60
3811.766695,13322.63541,6.02,19.3,60
3812.266692,13332.48498,6.02,19.3,60
3812.766697,13337.90278,6.02,19.4,58
3813.266712,13341.00823,6.02,19.4,56
3813.76669,13342.81033,6.02,19.4,51
3814.266701,13343.59273,6.02,19.4,50
3814.766694,13335.06947,6.02,19.5,47
3815.266691,13333.77684,6.02,19.5,47
3815.766702,13325.25321,6.02,19.5,46
3816.266709,13320.86737,6.02,19.4,45
3816.76669,13317.25167,6.02,19.4,47
3817.266692,13309.75962,6.02,19.3,47
3817.766699,13306.91445,6.02,19.2,46
3818.266692,13297.09856,6.02,19.1,47
3818.766916,13290.33722,6.02,18.9,48
3819.266704,13280.88957,6.02,18.8,48
3819.766917,13273.44383,6.02,18.7,47
3820.266692,13267.77722,6.02,18.6,46
3820.766918,13261.81933,6.02,18.5,46
3821.266703,13255.64325,6.02,18.4,46
3821.766917,13249.28421,6.02,18.3,47
3822.266703,13243.61837,6.02,18.2,46
